category,subject
tax,selamat pembayaran tagihan pbb anda berhasil
health_insurance,selamat pembayaran kesehatan anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
health_insurance,selamat pembayaran kesehatan anda berhasil
credit_card,selamat pembayaran tagihan kartu kredit anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
shopping,pembayaran untuk order  telah kami terima
health_insurance,selamat pembayaran kesehatan anda berhasil
credit_card,selamat pembayaran tagihan kartu kredit anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
health_insurance,selamat pembayaran kesehatan anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
comm_internet,selamat pembayaran tagihan pascabayar anda berhasil
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran tiket penerbangan berhasil invoice id 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran tiket penerbangan berhasil invoice id 
shopping,pembayaran untuk order  telah kami terima
shopping,pembayaran tiket penerbangan berhasil invoice id 
shopping,pembayaran untuk order  telah kami terima
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,airy pembayaran anda berhasil  no pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran tokocash anda pada tanggal telah kami batalkan
shopping,pembayaran klikbca anda pada tanggal  telah kami batalkan
credit_card,pembayaran kartu kredit sukses 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran pesanan  di bhinnekacom
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
tax,"selamat pembayaran tagihan pbb anda berhasil	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"konfirmasi penerimaan pembayaran	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"pembayaran	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"pembayaran pesanan 775455088728618 telah kami terima	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"pembayaran pesanan 758257063328618 telah kami terima	"
shopping,"pembayaran pesanan 756933436128618 telah kami terima	"
shopping,"pembayaran pesanan 759890146828618 telah kami terima	"
shopping,"pembayaran pesanan 748157352728618 telah kami terima	"
shopping,"pembayaran pesanan 742026895628618 telah kami terima	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
